,restaurant_id,restaurant_name,length,ave_rating,comment_amount,topic_id,topic_words
75,75,彩虹座Buffet (福華大飯店),255,3.9,393,37,"['""服務"" ', '""餐點"" ', '""用餐"" ', '""菜色"" ', '""選擇"" ', '""甜點"" ', '""食物"" ', '""新鮮"" ', '""啤酒"" ', '""餐廳""']"
76,76,怡客咖啡 大安運動中心店,157,4.3,266,20,"['""餐點"" ', '""服務"" ', '""用餐"" ', '""份量"" ', '""環境"" ', '""早午餐"" ', '""咖啡"" ', '""適合"" ', '""蛋捲"" ', '""態度""']"
77,77,雞窩餐廳,840,4.3,2689,22,"['""雞湯"" ', '""服務"" ', '""餐廳"" ', '""味道"" ', '""驥園"" ', '""包廂"" ', '""用餐"" ', '""適合"" ', '""推薦"" ', '""豆腐""']"
78,78,ABV Bar & Kitchen 酒精濃度 地中海餐廳,840,4.7,1090,37,"['""服務"" ', '""餐點"" ', '""用餐"" ', '""菜色"" ', '""選擇"" ', '""甜點"" ', '""食物"" ', '""新鮮"" ', '""啤酒"" ', '""餐廳""']"
79,79,忻殿堂火鍋 Xin HOT POT,840,4.8,2608,4,"['""服務"" ', '""新鮮"" ', '""湯頭"" ', '""用餐"" ', '""湯底"" ', '""火鍋"" ', '""態度"" ', '""親切"" ', '""鴨血"" ', '""推薦""']"
80,80,台電勵進餐廳,840,4.0,2984,15,"['""調酒"" ', '""酸菜"" ', '""服務"" ', '""蔥油餅"" ', '""味道"" ', '""白肉鍋"" ', '""適合"" ', '""喜歡"" ', '""餐點"" ', '""朋友""']"
81,81,奇維奇娃 - Cheevit Cheeva Taipei,786,4.2,1128,7,"['""服務"" ', '""店員"" ', '""泰式"" ', '""奶茶"" ', '""味道"" ', '""大阪燒"" ', '""文字燒"" ', '""珍珠"" ', '""餐點"" ', '""喜歡""']"
82,82,Betega del Vin,840,4.3,1634,3,"['""服務"" ', '""餐點"" ', '""用餐"" ', '""餐廳"" ', '""環境"" ', '""適合"" ', '""味道"" ', '""食物"" ', '""親切"" ', '""美味""']"
83,83,永康牛肉麵,840,3.8,8316,35,"['""牛肉麵"" ', '""牛肉"" ', '""紅燒"" ', '""湯頭"" ', '""粉蒸"" ', '""味道"" ', '""小菜"" ', '""排骨"" ', '""清燉"" ', '""麵條""']"
84,84,俺の漢堡排 山本,840,4.1,2219,11,"['""漢堡排"" ', '""服務"" ', '""套餐"" ', '""餐點"" ', '""用餐"" ', '""味道"" ', '""份量"" ', '""環境"" ', '""美味"" ', '""推薦""']"
85,85,豬跳舞小餐館,840,4.6,3379,16,"['""餐點"" ', '""服務"" ', '""義大利麵"" ', '""用餐"" ', '""鬆餅"" ', '""燉飯"" ', '""味道"" ', '""適合"" ', '""環境"" ', '""餐廳""']"
86,86,EZ5音樂餐廳,838,4.6,1848,30,"['""蘿蔔絲"" ', '""蘿蔔絲餅"" ', '""排隊"" ', '""提供"" ', '""蔥油餅"" ', '""歌手"" ', '""評論"" ', '""原始"" ', '""翻譯"" ', '""咖啡""']"
87,87,旅人咖啡,840,4.2,2191,20,"['""餐點"" ', '""服務"" ', '""用餐"" ', '""份量"" ', '""環境"" ', '""早午餐"" ', '""咖啡"" ', '""適合"" ', '""蛋捲"" ', '""態度""']"
88,88,StayReal Café by Gabee,506,4.2,898,30,"['""蘿蔔絲"" ', '""蘿蔔絲餅"" ', '""排隊"" ', '""提供"" ', '""蔥油餅"" ', '""歌手"" ', '""評論"" ', '""原始"" ', '""翻譯"" ', '""咖啡""']"
89,89,TASTy 西堤牛排 台北復興南店,840,4.6,7284,3,"['""服務"" ', '""餐點"" ', '""用餐"" ', '""餐廳"" ', '""環境"" ', '""適合"" ', '""味道"" ', '""食物"" ', '""親切"" ', '""美味""']"
90,90,Stoppage Time 補時,752,4.4,1098,30,"['""蘿蔔絲"" ', '""蘿蔔絲餅"" ', '""排隊"" ', '""提供"" ', '""蔥油餅"" ', '""歌手"" ', '""評論"" ', '""原始"" ', '""翻譯"" ', '""咖啡""']"
91,91,東區粉圓,840,3.9,6123,23,"['""粉圓"" ', '""蛤蜊"" ', '""糖水"" ', '""新鮮"" ', '""服務"" ', '""配料"" ', '""東區"" ', '""豆花"" ', '""芋頭"" ', '""店員""']"
92,92,PUTIEN莆田 台北SOGO忠孝店,840,4.8,8165,11,"['""漢堡排"" ', '""服務"" ', '""套餐"" ', '""餐點"" ', '""用餐"" ', '""味道"" ', '""份量"" ', '""環境"" ', '""美味"" ', '""推薦""']"
93,93,月島文字燒,840,4.2,2010,7,"['""服務"" ', '""店員"" ', '""泰式"" ', '""奶茶"" ', '""味道"" ', '""大阪燒"" ', '""文字燒"" ', '""珍珠"" ', '""餐點"" ', '""喜歡""']"
94,94,ToTsuZen Steak,840,4.8,4318,26,"['""牛排"" ', '""服務"" ', '""龍蝦"" ', '""用餐"" ', '""餐點"" ', '""市場"" ', '""餐廳"" ', '""麵包"" ', '""環境"" ', '""薯條""']"
95,95,加分100%浜中特選昆布鍋物,840,4.4,2035,4,"['""服務"" ', '""新鮮"" ', '""湯頭"" ', '""用餐"" ', '""湯底"" ', '""火鍋"" ', '""態度"" ', '""親切"" ', '""鴨血"" ', '""推薦""']"
96,96,台韓民國 韓式燒肉店,840,4.3,1925,25,"['""服務"" ', '""店員"" ', '""小菜"" ', '""態度"" ', '""炸雞"" ', '""用餐"" ', '""韓式"" ', '""味道"" ', '""餐點"" ', '""客人""']"
97,97,初魚 鮨 泰順,829,4.4,1350,29,"['""新鮮"" ', '""料理"" ', '""師傅"" ', '""原始"" ', '""翻譯"" ', '""用餐"" ', '""壽司"" ', '""價格"" ', '""提供"" ', '""評論""']"
98,98,秦味館,840,4.5,2579,13,"['""服務"" ', '""用餐"" ', '""餐點"" ', '""餐廳"" ', '""推薦"" ', '""味道"" ', '""套餐"" ', '""喜歡"" ', '""奶豆腐"" ', '""羊肉""']"
99,99,肉老大 頂級肉品涮涮鍋 敦南創始店,840,4.7,3380,4,"['""服務"" ', '""新鮮"" ', '""湯頭"" ', '""用餐"" ', '""湯底"" ', '""火鍋"" ', '""態度"" ', '""親切"" ', '""鴨血"" ', '""推薦""']"
100,100,雅室牛排 仁愛圓環店,840,4.2,2627,26,"['""牛排"" ', '""服務"" ', '""龍蝦"" ', '""用餐"" ', '""餐點"" ', '""市場"" ', '""餐廳"" ', '""麵包"" ', '""環境"" ', '""薯條""']"
101,101,北門鳳李冰,840,4.6,2279,34,"['""芋頭"" ', '""花生"" ', '""鳳梨"" ', '""古早味"" ', '""冰品"" ', '""鳳李冰"" ', '""荔枝"" ', '""綿密"" ', '""味道"" ', '""東區""']"
102,102,蛤?! Huh Pot,840,4.8,4614,23,"['""粉圓"" ', '""蛤蜊"" ', '""糖水"" ', '""新鮮"" ', '""服務"" ', '""配料"" ', '""東區"" ', '""豆花"" ', '""芋頭"" ', '""店員""']"
103,103,小李子清粥小菜,840,3.8,5029,37,"['""服務"" ', '""餐點"" ', '""用餐"" ', '""菜色"" ', '""選擇"" ', '""甜點"" ', '""食物"" ', '""新鮮"" ', '""啤酒"" ', '""餐廳""']"
104,104,温州街蘿蔔絲餅達人,840,4.2,4100,30,"['""蘿蔔絲"" ', '""蘿蔔絲餅"" ', '""排隊"" ', '""提供"" ', '""蔥油餅"" ', '""歌手"" ', '""評論"" ', '""原始"" ', '""翻譯"" ', '""咖啡""']"
105,105,舒服生活Truffles Living,445,4.2,644,3,"['""服務"" ', '""餐點"" ', '""用餐"" ', '""餐廳"" ', '""環境"" ', '""適合"" ', '""味道"" ', '""食物"" ', '""親切"" ', '""美味""']"
